============================================================
  CANLII IMPORT — TRAFFIC TICKETS (vitesse/cell/alcool)
  Date: 2026-02-14 01:00
  Max requêtes: 4800
  Mode: PRODUCTION
============================================================

  Dossiers déjà importés: 767

──────────────────────────────────────────────────
  Cours municipales QC (qccm) — Priority 1
──────────────────────────────────────────────────
    ... 10 importés | 0 filtrés | 278 existants | Quota: 4787
    [ERR] Insert: value too long for type character varying(100)

    ... 20 importés | 0 filtrés | 278 existants | Quota: 4776
    [ERR] Insert: value too long for type character varying(100)

    ... 30 importés | 0 filtrés | 341 existants | Quota: 4764
    ... 40 importés | 0 filtrés | 341 existants | Quota: 4754
    ... 50 importés | 0 filtrés | 341 existants | Quota: 4744
    ... 60 importés | 0 filtrés | 341 existants | Quota: 4733
    [ERR] Insert: value too long for type character varying(100)

    ... 70 importés | 0 filtrés | 341 existants | Quota: 4722
    ... 80 importés | 0 filtrés | 341 existants | Quota: 4712
    ... 90 importés | 0 filtrés | 341 existants | Quota: 4702
    ... 100 importés | 0 filtrés | 341 existants | Quota: 4692
    ... 110 importés | 0 filtrés | 341 existants | Quota: 4682
    ... 120 importés | 0 filtrés | 341 existants | Quota: 4672
    ... 130 importés | 0 filtrés | 341 existants | Quota: 4662
    ... 140 importés | 0 filtrés | 341 existants | Quota: 4652
    ... 150 importés | 0 filtrés | 341 existants | Quota: 4642
    ... 160 importés | 0 filtrés | 341 existants | Quota: 4631
    ... 170 importés | 0 filtrés | 341 existants | Quota: 4621
    ... 180 importés | 0 filtrés | 341 existants | Quota: 4611
    ... 190 importés | 0 filtrés | 341 existants | Quota: 4601
    ... 200 importés | 0 filtrés | 341 existants | Quota: 4591
    ... 210 importés | 0 filtrés | 341 existants | Quota: 4581
    ... 220 importés | 0 filtrés | 341 existants | Quota: 4571
    ... 230 importés | 0 filtrés | 341 existants | Quota: 4561
    ... 240 importés | 0 filtrés | 341 existants | Quota: 4551
    ... 250 importés | 0 filtrés | 341 existants | Quota: 4541
    ... 260 importés | 0 filtrés | 341 existants | Quota: 4530
    ... 270 importés | 0 filtrés | 341 existants | Quota: 4520
    ... 280 importés | 0 filtrés | 341 existants | Quota: 4510
    ... 290 importés | 0 filtrés | 341 existants | Quota: 4500
    ... 300 importés | 0 filtrés | 341 existants | Quota: 4490
    ... 310 importés | 0 filtrés | 341 existants | Quota: 4480
    ... 320 importés | 0 filtrés | 341 existants | Quota: 4470
    ... 330 importés | 0 filtrés | 341 existants | Quota: 4460
    [ERR] Insert: value too long for type character varying(100)

    ... 340 importés | 0 filtrés | 341 existants | Quota: 4449
    ... 350 importés | 0 filtrés | 341 existants | Quota: 4439
    ... 360 importés | 0 filtrés | 341 existants | Quota: 4428
    ... 370 importés | 0 filtrés | 341 existants | Quota: 4418
    ... 380 importés | 0 filtrés | 341 existants | Quota: 4408
    ... 390 importés | 0 filtrés | 341 existants | Quota: 4398
    ... 400 importés | 0 filtrés | 341 existants | Quota: 4388
    ... 410 importés | 0 filtrés | 341 existants | Quota: 4378
    ... 420 importés | 0 filtrés | 341 existants | Quota: 4368
    ... 430 importés | 0 filtrés | 341 existants | Quota: 4358
    ... 440 importés | 0 filtrés | 341 existants | Quota: 4348
    ... 450 importés | 0 filtrés | 341 existants | Quota: 4338
    ... 460 importés | 0 filtrés | 341 existants | Quota: 4327
    ... 470 importés | 0 filtrés | 341 existants | Quota: 4317
    ... 480 importés | 0 filtrés | 341 existants | Quota: 4307
    ... 490 importés | 0 filtrés | 341 existants | Quota: 4297
    ... 500 importés | 0 filtrés | 341 existants | Quota: 4287
    ... 510 importés | 0 filtrés | 341 existants | Quota: 4277
    ... 520 importés | 0 filtrés | 341 existants | Quota: 4267
    ... 530 importés | 0 filtrés | 341 existants | Quota: 4257
    ... 540 importés | 0 filtrés | 341 existants | Quota: 4247
    ... 550 importés | 0 filtrés | 341 existants | Quota: 4237
    ... 560 importés | 0 filtrés | 341 existants | Quota: 4226
    [ERR] Insert: value too long for type character varying(100)

    ... 570 importés | 0 filtrés | 341 existants | Quota: 4215
    ... 580 importés | 0 filtrés | 341 existants | Quota: 4205
    ... 590 importés | 0 filtrés | 341 existants | Quota: 4195
    ... 600 importés | 0 filtrés | 341 existants | Quota: 4185
    ... 610 importés | 0 filtrés | 341 existants | Quota: 4175
    ... 620 importés | 0 filtrés | 341 existants | Quota: 4165
    ... 630 importés | 0 filtrés | 341 existants | Quota: 4155
    ... 640 importés | 0 filtrés | 341 existants | Quota: 4145
    ... 650 importés | 0 filtrés | 341 existants | Quota: 4135
    ... 660 importés | 0 filtrés | 341 existants | Quota: 4124
    ... 670 importés | 0 filtrés | 341 existants | Quota: 4114
    ... 680 importés | 0 filtrés | 341 existants | Quota: 4104
    ... 690 importés | 0 filtrés | 341 existants | Quota: 4094
    ... 700 importés | 0 filtrés | 341 existants | Quota: 4084
    ... 710 importés | 0 filtrés | 341 existants | Quota: 4074
    ... 720 importés | 0 filtrés | 341 existants | Quota: 4064
    ... 730 importés | 0 filtrés | 341 existants | Quota: 4054
    ... 740 importés | 0 filtrés | 341 existants | Quota: 4044
    [ERR] Insert: value too long for type character varying(100)

    ... 750 importés | 0 filtrés | 341 existants | Quota: 4033
    ... 760 importés | 0 filtrés | 341 existants | Quota: 4022
    ... 770 importés | 0 filtrés | 341 existants | Quota: 4012
    ... 780 importés | 0 filtrés | 341 existants | Quota: 4002
    ... 790 importés | 0 filtrés | 341 existants | Quota: 3992
    ... 800 importés | 0 filtrés | 341 existants | Quota: 3982
    ... 810 importés | 0 filtrés | 341 existants | Quota: 3972
    ... 820 importés | 0 filtrés | 341 existants | Quota: 3962
    ... 830 importés | 0 filtrés | 341 existants | Quota: 3952
    ... 840 importés | 0 filtrés | 341 existants | Quota: 3942
    ... 850 importés | 0 filtrés | 341 existants | Quota: 3932
    ... 860 importés | 0 filtrés | 341 existants | Quota: 3921
    ... 870 importés | 0 filtrés | 341 existants | Quota: 3911
    ... 880 importés | 0 filtrés | 341 existants | Quota: 3901
    ... 890 importés | 0 filtrés | 341 existants | Quota: 3891
    ... 900 importés | 0 filtrés | 341 existants | Quota: 3881
    ... 910 importés | 0 filtrés | 341 existants | Quota: 3871
    ... 920 importés | 0 filtrés | 341 existants | Quota: 3861
    ... 930 importés | 0 filtrés | 341 existants | Quota: 3851
    ... 940 importés | 0 filtrés | 341 existants | Quota: 3841
    ... 950 importés | 0 filtrés | 341 existants | Quota: 3831
    ... 960 importés | 0 filtrés | 341 existants | Quota: 3820
    ... 970 importés | 0 filtrés | 341 existants | Quota: 3810
    ... 980 importés | 0 filtrés | 341 existants | Quota: 3800
    ... 990 importés | 0 filtrés | 341 existants | Quota: 3790
    ... 1000 importés | 0 filtrés | 341 existants | Quota: 3780
    ... 1010 importés | 0 filtrés | 341 existants | Quota: 3770
    ... 1020 importés | 0 filtrés | 341 existants | Quota: 3760
    ... 1030 importés | 0 filtrés | 341 existants | Quota: 3750
    [ERR] Insert: value too long for type character varying(100)

    ... 1040 importés | 0 filtrés | 341 existants | Quota: 3739
    ... 1050 importés | 0 filtrés | 341 existants | Quota: 3729
    ... 1060 importés | 0 filtrés | 341 existants | Quota: 3718
    ... 1070 importés | 0 filtrés | 341 existants | Quota: 3708
    ... 1080 importés | 0 filtrés | 341 existants | Quota: 3698
