=== ScanTicket V1 — Populate Embeddings ===
Modele: https://api.fireworks.ai/inference/v1/
Force re-embed: False

Dossiers a embedder: 25904
  [50/25904] 31.1 docs/s | 6533 tokens
  [100/25904] 35.2 docs/s | 13237 tokens
  [150/25904] 37.3 docs/s | 19926 tokens
  [200/25904] 38.7 docs/s | 26585 tokens
  [250/25904] 37.4 docs/s | 33341 tokens
  [300/25904] 38.3 docs/s | 39428 tokens
  [350/25904] 39.4 docs/s | 45975 tokens
  [400/25904] 39.9 docs/s | 52396 tokens
  [450/25904] 40.7 docs/s | 58811 tokens
  [500/25904] 41.1 docs/s | 65144 tokens
  [550/25904] 41.5 docs/s | 71064 tokens
  [600/25904] 41.7 docs/s | 77696 tokens
  [650/25904] 42.0 docs/s | 84134 tokens
  [700/25904] 42.2 docs/s | 90513 tokens
  [750/25904] 42.5 docs/s | 97147 tokens
  [800/25904] 42.6 docs/s | 103893 tokens
  [850/25904] 42.8 docs/s | 109153 tokens
  [900/25904] 43.0 docs/s | 115382 tokens
  [950/25904] 43.2 docs/s | 121593 tokens
  [1000/25904] 43.3 docs/s | 128272 tokens
  [1050/25904] 43.3 docs/s | 134323 tokens
  [1100/25904] 43.4 docs/s | 140113 tokens
  [1150/25904] 43.5 docs/s | 146041 tokens
  [1200/25904] 43.7 docs/s | 152004 tokens
  [1250/25904] 43.8 docs/s | 158249 tokens
  [1300/25904] 43.8 docs/s | 164484 tokens
  [1350/25904] 43.8 docs/s | 171083 tokens
  [1400/25904] 43.8 docs/s | 177223 tokens
  [1450/25904] 43.8 docs/s | 183576 tokens
  [1500/25904] 43.9 docs/s | 189988 tokens
  [1550/25904] 44.0 docs/s | 195837 tokens
  [1600/25904] 44.0 docs/s | 202077 tokens
  [1650/25904] 43.9 docs/s | 207942 tokens
  [1700/25904] 43.9 docs/s | 214308 tokens
  [1750/25904] 43.8 docs/s | 220513 tokens
  [1800/25904] 43.8 docs/s | 227042 tokens
